iter	Passed	Remaining
409	4650	6691
410	4661	6680
411	4673	6669
412	4684	6658
413	4696	6647
414	4708	6637
415	4719	6626
416	4731	6614
417	4742	6603
418	4753	6591
419	4764	6579
420	4776	6568
421	4787	6557
422	4799	6546
423	4809	6534
424	4821	6523
425	4833	6512
426	4844	6500
427	4855	6488
428	4865	6476
429	4877	6464
430	4887	6452
431	4899	6441
432	4910	6430
433	4923	6420
434	4934	6408
435	4946	6398
436	4957	6386
437	4969	6376
438	4980	6365
439	4992	6353
440	5003	6342
441	5014	6330
442	5027	6321
443	5038	6309
444	5049	6297
445	5060	6285
446	5070	6272
447	5080	6260
448	5092	6248
449	5103	6237
450	5115	6226
451	5125	6214
452	5137	6203
453	5148	6191
454	5158	6179
455	5169	6167
456	5182	6157
457	5194	6146
458	5205	6135
459	5216	6124
460	5224	6109
461	5235	6097
462	5246	6085
463	5257	6073
464	5268	6061
465	5279	6050
466	5290	6038
467	5303	6028
468	5312	6014
469	5323	6003
470	5333	5989
471	5342	5976
472	5354	5965
473	5367	5956
474	5379	5945
475	5390	5933
476	5400	5921
477	5411	5910
478	5422	5898
479	5434	5887
480	5445	5875
481	5455	5863
482	5466	5851
483	5478	5840
484	5489	5828
485	5500	5817
486	5511	5805
487	5521	5793
488	5533	5782
489	5545	5771
490	5556	5759
491	5567	5748
492	5578	5736
493	5589	5724
494	5600	5713
495	5610	5701
496	5620	5688
497	5631	5676
498	5642	5665
499	5654	5654
500	5665	5642
501	5675	5630
502	5688	5620
503	5700	5610
504	5711	5598
505	5722	5586
506	5733	5574
507	5744	5563
508	5756	5552
509	5767	5541
510	5777	5528
511	5789	5518
512	5800	5506
513	5811	5494
514	5822	5483
515	5833	5472
516	5844	5460
517	5855	5448
518	5866	5436
519	5877	5425
520	5889	5414
521	5900	5403
522	5911	5391
523	5923	5380
524	5933	5368
525	5945	5357
526	5955	5345
527	5966	5333
528	5976	5321
529	5988	5310
530	5999	5299
531	6010	5287
532	6017	5272
533	6029	5261
534	6040	5250
535	6051	5238
536	6062	5227
537	6073	5215
538	6085	5204
539	6096	5193
540	6107	5181
541	6118	5170
542	6129	5158
543	6140	5147
544	6151	5135
545	6162	5124
546	6174	5113
547	6186	5102
548	6197	5091
549	6209	5080
550	6219	5068
551	6229	5056
552	6239	5043
553	6249	5031
554	6260	5019
555	6272	5008
556	6283	4997
557	6294	4985
558	6304	4973
559	6316	4962
560	6327	4951
561	6338	4939
562	6349	4928
563	6361	4917
564	6372	4906
565	6383	4894
566	6394	4882
567	6404	4871
568	6415	4859
569	6425	4847
570	6438	4836
571	6448	4825
572	6460	4814
573	6471	4803
574	6483	4791
575	6495	4781
576	6505	4769
577	6517	4758
578	6527	4746
579	6538	4734
580	6549	4722
581	6560	4711
582	6571	4700
583	6582	4689
584	6594	4678
585	6605	4666
586	6616	4655
587	6628	4644
588	6639	4632
589	6651	4621
590	6661	4610
591	6672	4598
592	6684	4587
593	6696	4576
594	6708	4566
595	6719	4555
596	6731	4544
597	6742	4532
598	6753	4521
599	6764	4509
600	6775	4498
601	6786	4486
602	6798	4475
603	6810	4464
604	6821	4453
605	6832	4442
606	6844	4431
607	6856	4420
608	6867	4409
609	6878	4397
610	6889	4386
611	6900	4374
612	6911	4363
613	6923	4352
614	6934	4341
615	6946	4330
616	6957	4318
617	6968	4307
618	6979	4296
619	6989	4283
620	7000	4272
621	7011	4260
622	7022	4249
623	7033	4237
624	7044	4226
625	7056	4215
626	7066	4203
627	7077	4192
628	7088	4180
629	7099	4169
630	7109	4157
631	7121	4146
632	7132	4135
633	7143	4123
634	7154	4112
635	7165	4100
636	7176	4089
637	7188	4078
638	7200	4067
639	7211	4056
640	7223	4045
641	7234	4034
642	7245	4022
643	7256	4011
644	7267	4000
645	7278	3988
646	7288	3976
647	7299	3965
648	7310	3953
649	7320	3942
650	7331	3930
651	7343	3919
652	7354	3907
653	7365	3896
654	7376	3885
655	7387	3873
656	7397	3862
657	7408	3850
658	7420	3839
659	7431	3828
660	7442	3816
661	7451	3804
662	7462	3793
663	7473	3781
664	7484	3770
665	7495	3758
666	7504	3746
667	7516	3735
668	7527	3724
669	7538	3712
670	7549	3701
671	7559	3689
672	7570	3678
673	7581	3666
674	7592	3655
675	7603	3644
676	7614	3632
677	7625	3621
678	7634	3609
679	7646	3598
680	7657	3587
681	7667	3575
682	7680	3564
683	7691	3553
684	7703	3542
685	7714	3531
686	7726	3520
687	7737	3508
688	7747	3497
689	7759	3486
690	7770	3474
691	7780	3463
692	7792	3451
693	7802	3440
694	7814	3429
695	7825	3418
696	7836	3406
697	7847	3395
698	7858	3384
699	7870	3372
700	7880	3361
701	7891	3350
702	7902	3338
703	7913	3327
704	7924	3316
705	7935	3304
706	7946	3293
707	7958	3282
708	7969	3270
709	7980	3259
710	7991	3248
711	8003	3237
712	8014	3226
713	8026	3214
714	8035	3202
715	8046	3191
716	8057	3180
717	8069	3169
718	8080	3158
719	8091	3146
720	8102	3135
721	8114	3124
722	8125	3113
723	8137	3102
724	8148	3090
725	8159	3079
726	8170	3068
727	8182	3057
728	8193	3045
729	8204	3034
730	8216	3023
731	8226	3011
732	8237	3000
733	8247	2988
734	8258	2977
735	8270	2966
736	8281	2955
737	8291	2943
738	8302	2932
739	8313	2920
740	8324	2909
